DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2007-03-14,3010.046142578125,5,8,2.0,113,45.6
2007-03-15,3019.296142578125,6,7,2.4,114,46.0
2007-03-16,2993.14599609375,5,7,2.0,111,44.6
2007-03-19,3042.34619140625,5,7,2.0,116,46.6
2007-03-20,3062.696044921875,7,7,2.8,118,47.2
2007-03-21,3102.5458984375,6,7,2.4,117,46.8
2007-03-22,3174.495849609375,8,6,3.2,127,50.8
2007-03-23,3168.645751953125,7,6,2.8,125,50.0
2007-03-26,3141.845947265625,7,7,2.8,123,49.2
2007-03-28,3095.595947265625,6,8,2.4,123,49.2
2007-03-29,3116.245849609375,7,7,2.8,123,49.2
2007-03-30,3145.345947265625,8,6,3.2,128,51.2
2007-04-02,3008.74609375,6,8,2.4,110,43.8
2007-04-03,3046.64599609375,6,8,2.4,112,44.6
2007-04-04,3082.645751953125,8,6,3.2,118,47.0
2007-04-05,3100.845947265625,8,4,3.2,117,46.6
2007-04-09,3172.5458984375,9,4,3.6,122,48.6
2007-04-10,3183.69580078125,12,4,4.8,125,49.8
2007-04-11,3195.44580078125,11,4,4.4,125,49.8
2007-04-12,3173.2958984375,11,5,4.4,121,48.2
2007-04-13,3233.895751953125,15,5,6.0,132,52.6
2007-04-16,3302.845703125,19,4,7.6,138,55.0
2007-04-17,3281.795654296875,15,4,6.0,137,54.6
2007-04-18,3305.045654296875,13,4,5.2,135,53.8
2007-04-19,3295.24560546875,12,5,4.8,134,53.4
2007-04-20,3353.595703125,14,4,5.6,141,56.2
2007-04-23,3352.6455078125,14,5,5.6,145,57.5
2007-04-24,3394.695556640625,14,5,5.6,149,59.1
2007-04-25,3416.49560546875,18,6,7.1,153,60.7
2007-04-26,3422.3955078125,22,4,8.7,158,62.7
2007-04-27,3363.49560546875,11,4,4.4,149,59.1
2007-04-30,3379.095703125,13,5,5.2,152,60.3
2007-05-03,3429.24560546875,21,5,8.3,164,65.1
2007-05-04,3410.3955078125,21,5,8.3,165,65.5
2007-05-07,3401.295654296875,14,4,5.6,159,63.1
2007-05-08,3370.695556640625,11,4,4.4,150,59.5
2007-05-09,3378.6455078125,10,5,4.0,155,61.3
2007-05-10,3369.24560546875,11,6,4.3,154,60.9
2007-05-11,3378.3955078125,12,7,4.7,156,61.7
2007-05-14,3424.045654296875,15,4,5.9,159,62.8
2007-05-15,3421.8955078125,17,6,6.7,164,64.8
2007-05-16,3466.095458984375,21,5,8.3,171,67.6
2007-05-17,3507.495361328125,27,4,10.7,170,67.2
2007-05-18,3503.54541015625,18,6,7.1,169,66.8
2007-05-21,3537.145263671875,20,5,7.9,171,67.6
2007-05-22,3550.1953125,27,6,10.7,166,65.6
2007-05-23,3523.995361328125,24,5,9.5,166,65.6
2007-05-24,3501.9453125,18,6,7.1,166,65.6
2007-05-25,3528.245361328125,19,5,7.5,166,65.6
2007-05-28,3545.845458984375,31,4,12.3,168,66.4
2007-05-29,3571.79541015625,26,5,10.3,174,68.8
2007-05-30,3533.745361328125,25,7,9.9,170,67.2
2007-05-31,3563.645263671875,24,5,9.5,167,66.0
2007-06-01,3575.145263671875,21,4,8.3,177,69.7
2007-06-04,3557.1953125,23,4,9.1,174,68.5
2007-06-05,3571.4453125,13,4,5.1,171,67.3
2007-06-06,3502.6953125,14,5,5.5,166,65.4
2007-06-07,3488.145263671875,12,8,4.7,160,63.0
2007-06-08,3457.395263671875,12,7,4.7,161,63.4
2007-06-11,3458.245361328125,17,6,6.7,159,62.6
2007-06-12,3453.895263671875,10,9,3.9,154,60.6
2007-06-13,3429.195556640625,7,7,2.8,156,61.4
2007-06-14,3482.645263671875,9,7,3.5,165,65.0
2007-06-15,3486.6953125,11,5,4.3,165,65.0
2007-06-18,3468.395263671875,16,6,6.3,160,63.0
2007-06-19,3519.79541015625,15,9,5.9,165,65.0
2007-06-20,3555.145263671875,23,4,9.1,171,67.3
2007-06-21,3575.745361328125,27,6,10.6,171,67.3
2007-06-22,3571.1953125,22,6,8.7,175,68.9
2007-06-25,3574.145263671875,17,7,6.7,174,68.5
2007-06-26,3593.845458984375,22,5,8.7,174,68.5
2007-06-27,3575.645263671875,24,7,9.4,175,68.9
2007-06-28,3585.9453125,19,5,7.5,176,69.3
2007-06-29,3625.745361328125,27,5,10.6,183,72.0
2007-07-02,3631.59521484375,30,4,11.8,184,72.4
2007-07-03,3666.59521484375,21,5,8.3,186,73.2
2007-07-04,3669.295166015625,24,4,9.4,191,75.2
2007-07-05,3652.39501953125,19,4,7.5,187,73.3
2007-07-06,3672.545166015625,22,4,8.6,189,74.1
2007-07-09,3703.64501953125,30,4,11.8,189,74.1
2007-07-10,3693.195068359375,27,5,10.6,185,72.5
2007-07-11,3690.945068359375,24,5,9.4,184,72.2
2007-07-12,3744.445068359375,37,4,14.5,197,77.3
2007-07-13,3780.7451171875,48,4,18.8,196,76.9
2007-07-16,3791.64501953125,36,5,14.1,196,76.9
